id;start_date;end_date;note
1;2019-12-14T15:52:24;2019-12-15T06:22:11;Handcrafted Cotton Bacon Unbranded Fresh Pants
2;2019-12-15T10:22:10;2019-12-15T02:01:06;Practical North Dakota
3;2019-12-15T10:10:11;2019-12-15T03:09:24;Towels Specialist
4;2019-12-14T14:53:53;2019-12-14T20:51:09;Computers Small Fresh Gloves back-end
5;2019-12-15T07:58:58;2019-12-15T03:11:34;synthesizing composite
6;2019-12-14T11:51:59;2019-12-14T20:04:59;Refined Intelligent Granite Shirt
7;2019-12-14T22:03:26;2019-12-14T18:14:39;Metal Frozen
8;2019-12-14T11:45:49;2019-12-14T22:38:28;alliance redundant global
9;2019-12-15T00:29:50;2019-12-14T17:10:32;Ameliorated
10;2019-12-15T06:36:30;2019-12-14T11:55:44;navigating
